issn_l,earliest_year,pub_type,n,oa_articles
0001-8392,2021,all,28,9
0001-8392,2022,core,29,9
0001-8392,2022,all,31,9
0001-8392,2023,core,31,13
0001-8392,2023,all,34,13
0001-8678,2019,core,41,0
0001-8678,2019,all,41,0
0001-8678,2020,core,43,0
0001-8678,2020,all,43,0
0001-8678,2021,core,38,0
0001-8678,2021,all,38,0
0001-8678,2022,core,41,0
0001-8678,2022,all,42,0
0001-8678,2023,core,64,0
0001-8678,2023,all,66,0
0001-8686,2019,core,102,6
0001-8686,2019,all,104,6
0001-8686,2020,core,165,6
0001-8686,2020,all,167,6
0001-8686,2021,core,149,12
0001-8686,2021,all,152,12
0001-8686,2022,core,161,29
0001-8686,2022,all,161,29
0001-8686,2023,core,147,28
0001-8686,2023,all,148,28
0001-8708,2019,core,378,13
0001-8708,2019,all,380,14
0001-8708,2020,core,387,12
0001-8708,2020,all,392,12
0001-8708,2021,core,453,40
0001-8708,2021,all,457,40
0001-8708,2022,core,501,82
0001-8708,2022,all,507,82
0001-8708,2023,core,363,91
0001-8708,2023,all,368,91
0001-8732,2019,core,4,0
0001-8732,2019,all,4,0
0001-8732,2020,core,4,0
0001-8732,2020,all,5,0
0001-8732,2021,core,5,0
0001-8732,2021,all,7,0
0001-8732,2023,core,2,0
0001-8732,2023,all,2,0
0001-8791,2019,core,115,3
0001-8791,2019,all,119,3
0001-8791,2020,core,83,10
0001-8791,2020,all,96,11
0001-8791,2021,core,88,19
0001-8791,2021,all,90,19
0001-8791,2022,core,82,14
0001-8791,2022,all,83,14
0001-8791,2023,core,63,16
0001-8791,2023,all,63,16
0001-9054,2019,core,76,23
0001-9054,2019,all,78,23
0001-9054,2020,core,76,32
0001-9054,2020,all,78,32
0001-9054,2021,core,81,31
0001-9054,2021,all,83,31
0001-9054,2022,core,81,20
0001-9054,2022,all,82,21
0001-9054,2023,core,117,54
0001-9054,2023,all,118,55
0001-9240,2019,core,89,10
0001-9240,2019,all,95,11
0001-9240,2020,core,79,8
