issn_l,earliest_year,pub_type,n,oa_articles
1357-4809,2021,core,34,6
1357-4809,2021,all,37,6
1357-4809,2022,core,31,7
1357-4809,2022,all,40,8
1357-4809,2023,core,52,16
1357-4809,2023,all,52,16
1357-5279,2019,core,26,3
1357-5279,2019,all,30,3
1357-5279,2020,core,32,4
1357-5279,2020,all,36,4
1357-5279,2021,core,53,7
1357-5279,2021,all,57,7
1357-5279,2022,core,63,18
1357-5279,2022,all,67,18
1357-5279,2023,core,35,10
1357-5279,2023,all,39,10
1357-5317,2019,core,20,3
1357-5317,2019,all,28,4
1357-5317,2020,core,21,2
1357-5317,2020,all,29,2
1357-5317,2021,core,25,5
1357-5317,2021,all,31,5
1357-5317,2022,core,34,6
1357-5317,2022,all,40,6
1357-5317,2023,core,25,6
1357-5317,2023,all,32,8
1357-6275,2019,core,28,1
1357-6275,2019,all,29,1
1357-6275,2020,core,32,5
1357-6275,2020,all,33,5
1357-6275,2021,core,28,4
1357-6275,2021,all,29,4
1357-6275,2022,core,49,15
1357-6275,2022,all,54,15
1357-6275,2023,core,67,29
1357-6275,2023,all,69,29
1357-633X,2019,core,69,1
1357-633X,2019,all,69,1
1357-633X,2020,core,66,2
1357-633X,2020,all,73,3
1357-633X,2021,core,119,7
1357-633X,2021,all,121,7
1357-633X,2022,core,164,23
1357-633X,2022,all,167,24
1357-633X,2023,core,189,29
1357-633X,2023,all,195,29
1357-650X,2019,core,37,2
1357-650X,2019,all,39,2
1357-650X,2020,core,37,4
1357-650X,2020,all,38,4
1357-650X,2021,core,32,6
1357-650X,2021,all,41,7
1357-650X,2022,core,27,7
1357-650X,2022,all,27,7
1357-650X,2023,core,20,6
1357-650X,2023,all,20,6
1358-1988,2019,core,28,1
1358-1988,2019,all,28,1
1358-1988,2020,core,36,1
1358-1988,2020,all,37,1
1358-1988,2021,core,24,0
1358-1988,2021,all,24,0
1358-1988,2022,core,31,0
1358-1988,2022,all,31,0
1358-1988,2023,core,40,9
1358-1988,2023,all,40,9
1358-2267,2019,core,47,2
1358-2267,2019,all,49,2
1358-2267,2020,core,70,16
1358-2267,2020,all,72,16
1358-2267,2021,core,47,7
1358-2267,2021,all,51,7
1358-2267,2022,core,40,7
1358-2267,2022,all,40,7
1358-2267,2023,core,78,21
1358-2267,2023,all,82,21
1358-2291,2019,core,10,1
1358-2291,2019,all,13,1
1358-2291,2020,core,12,1
1358-2291,2020,all,14,1
1358-2291,2021,core,17,5
1358-2291,2021,all,24,7
1358-2291,2022,core,17,3
1358-2291,2022,all,25,4
1358-2291,2023,core,10,5
1358-2291,2023,all,19,7
1358-3883,2019,core,24,5
1358-3883,2019,all,24,5
1358-3883,2020,core,26,8
1358-3883,2020,all,28,8
1358-3883,2021,core,20,9
1358-3883,2021,all,20,9
1358-3883,2022,core,26,10
1358-3883,2022,all,27,10
1358-3883,2023,core,22,15
1358-3883,2023,all,26,16
1358-684X,2019,core,31,0
1358-684X,2019,all,35,0
1358-684X,2020,core,35,0
1358-684X,2020,all,39,0
1358-684X,2021,core,32,4
1358-684X,2021,all,36,4
1358-684X,2022,core,33,14
1358-684X,2022,all,37,14
1358-684X,2023,core,38,11
1358-684X,2023,all,42,11
1358-8265,2019,core,53,0
1358-8265,2019,all,54,0
1358-8265,2020,core,59,3
1358-8265,2020,all,60,3
1358-8265,2021,core,59,1
1358-8265,2021,all,61,1
1358-8265,2022,core,155,5
1358-8265,2022,all,156,5
1358-8265,2023,core,112,4
1358-8265,2023,all,114,4
1358-863X,2019,core,65,2
1358-863X,2019,all,89,2
1358-863X,2020,core,73,7
1358-863X,2020,all,101,8
1358-863X,2021,core,86,13
1358-863X,2021,all,113,15
1358-863X,2022,core,73,11
1358-863X,2022,all,106,12
1358-863X,2023,core,71,13
1358-863X,2023,all,122,17
1359-0286,2019,core,27,4
1359-0286,2019,all,29,4
1359-0286,2020,core,29,4
1359-0286,2020,all,30,4
1359-0286,2021,core,32,4
1359-0286,2021,all,34,4
1359-0286,2022,core,34,4
1359-0286,2022,all,36,4
1359-0286,2023,core,26,9
1359-0286,2023,all,27,9
1359-0294,2019,core,82,9
1359-0294,2019,all,88,9
1359-0294,2020,core,66,11
1359-0294,2020,all,73,11
1359-0294,2021,core,84,20
1359-0294,2021,all,90,20
1359-0294,2022,core,68,7
1359-0294,2022,all,68,7
1359-0294,2023,core,60,24
1359-0294,2023,all,67,24
1359-0790,2019,core,81,0
1359-0790,2019,all,85,0
1359-0790,2020,core,129,2
1359-0790,2020,all,132,2
1359-0790,2021,core,59,0
1359-0790,2021,all,63,0
1359-0790,2022,core,128,3
1359-0790,2022,all,132,3
1359-0790,2023,core,167,16
1359-0790,2023,all,174,16
1359-0987,2019,core,43,4
1359-0987,2019,all,47,4
1359-0987,2020,core,44,13
1359-0987,2020,all,47,13
1359-0987,2021,core,52,12
1359-0987,2021,all,53,12
1359-0987,2022,core,69,24
1359-0987,2022,all,71,25
1359-0987,2023,core,89,64
1359-0987,2023,all,91,64
1359-1045,2019,core,62,3
1359-1045,2019,all,70,3
1359-1045,2020,core,77,10
1359-1045,2020,all,87,10
1359-1045,2021,core,96,19
1359-1045,2021,all,102,20
1359-1045,2022,core,95,22
1359-1045,2022,all,99,22
1359-1045,2023,core,172,45
1359-1045,2023,all,179,45
1359-1053,2019,core,164,8
1359-1053,2019,all,167,10
1359-1053,2020,core,203,8
1359-1053,2020,all,211,10
1359-1053,2021,core,245,8
1359-1053,2021,all,252,8
1359-1053,2022,core,233,70
1359-1053,2022,all,238,70
1359-1053,2023,core,151,58
1359-1053,2023,all,154,58
1359-107X,2019,core,49,17
1359-107X,2019,all,53,17
1359-107X,2020,core,60,24
1359-107X,2020,all,63,25
1359-107X,2021,core,64,36
1359-107X,2021,all,66,38
1359-107X,2022,core,68,30
1359-107X,2022,all,69,30
1359-107X,2023,core,95,69
1359-107X,2023,all,95,69
1359-1355,2019,core,28,2
1359-1355,2019,all,33,2
1359-1355,2020,core,29,4
1359-1355,2020,all,34,4
1359-1355,2021,core,27,7
1359-1355,2021,all,32,8
1359-1355,2022,core,26,17
1359-1355,2022,all,30,17
1359-1355,2023,core,19,16
1359-1355,2023,all,24,17
1359-1789,2019,core,110,2
1359-1789,2019,all,114,2
1359-1789,2020,core,97,4
1359-1789,2020,all,98,4
1359-1789,2021,core,133,6
1359-1789,2021,all,136,6
1359-1789,2022,core,69,6
1359-1789,2022,all,74,6
1359-1789,2023,core,45,17
1359-1789,2023,all,45,17
1359-1835,2019,core,23,1
1359-1835,2019,all,24,1
1359-1835,2020,core,21,4
1359-1835,2020,all,22,4
1359-1835,2021,core,26,9
1359-1835,2021,all,26,9
1359-1835,2022,core,23,10
1359-1835,2022,all,24,10
1359-1835,2023,core,35,10
1359-1835,2023,all,35,10
1359-2998,2019,core,111,17
1359-2998,2019,all,153,19
1359-2998,2020,core,102,24
1359-2998,2020,all,145,27
1359-2998,2021,core,115,28
1359-2998,2021,all,161,32
1359-2998,2022,core,108,27
1359-2998,2022,all,139,29
1359-2998,2023,core,139,29
1359-2998,2023,all,184,29
1359-4184,2019,core,134,58
1359-4184,2019,all,164,71
1359-4184,2020,core,239,102
1359-4184,2020,all,308,117
1359-4184,2021,core,578,264
1359-4184,2021,all,660,293
1359-4184,2022,core,472,217
1359-4184,2022,all,530,239
1359-4184,2023,core,492,273
1359-4184,2023,all,569,293
1359-4311,2019,core,1630,23
1359-4311,2019,all,1640,23
1359-4311,2020,core,1380,34
1359-4311,2020,all,1401,34
1359-4311,2021,core,1338,77
1359-4311,2021,all,1351,77
1359-4311,2022,core,1386,84
1359-4311,2022,all,1401,86
1359-4311,2023,core,1944,163
1359-4311,2023,all,1953,163
1359-432X,2019,core,62,10
1359-432X,2019,all,63,10
1359-432X,2020,core,63,7
1359-432X,2020,all,65,7
1359-432X,2021,core,65,22
1359-432X,2021,all,66,22
1359-432X,2022,core,64,21
1359-432X,2022,all,64,21
1359-432X,2023,core,77,28
1359-432X,2023,all,77,28
1359-4338,2019,core,36,3
1359-4338,2019,all,39,4
1359-4338,2020,core,54,6
1359-4338,2020,all,55,6
1359-4338,2021,core,88,26
1359-4338,2021,all,89,26
1359-4338,2022,core,121,49
1359-4338,2022,all,123,49
1359-4338,2023,core,208,106
1359-4338,2023,all,216,112
1359-5113,2019,core,299,4
1359-5113,2019,all,302,4
1359-5113,2020,core,378,5
1359-5113,2020,all,380,5
1359-5113,2021,core,332,6
1359-5113,2021,all,334,6
1359-5113,2022,core,373,12
1359-5113,2022,all,375,12
1359-5113,2023,core,348,17
1359-5113,2023,all,350,17
1359-5237,2019,core,56,0
1359-5237,2019,all,57,0
1359-5237,2020,core,63,2
1359-5237,2020,all,73,2
1359-5237,2021,core,69,7
1359-5237,2021,all,75,7
1359-5237,2022,core,92,8
1359-5237,2022,all,95,8
1359-5237,2023,core,50,15
1359-5237,2023,all,51,15
1359-5474,2019,core,29,0
1359-5474,2019,all,35,0
1359-5474,2020,core,25,0
1359-5474,2020,all,39,0
1359-5474,2021,core,19,0
1359-5474,2021,all,28,0
1359-5474,2022,core,20,2
1359-5474,2022,all,23,2
1359-5474,2023,core,8,1
1359-5474,2023,all,12,1
1359-5997,2019,core,103,24
1359-5997,2019,all,132,52
1359-5997,2020,core,141,45
1359-5997,2020,all,152,55
1359-5997,2021,core,225,54
1359-5997,2021,all,243,62
1359-5997,2022,core,213,69
1359-5997,2022,all,253,85
1359-5997,2023,core,174,55
1359-5997,2023,all,184,61
1359-6101,2019,core,32,3
1359-6101,2019,all,43,4
1359-6101,2020,core,42,8
1359-6101,2020,all,66,11
1359-6101,2021,core,54,11
1359-6101,2021,all,63,12
1359-6101,2022,core,46,3
1359-6101,2022,all,51,5
1359-6101,2023,core,49,14
1359-6101,2023,all,56,18
1359-6446,2019,core,197,20
1359-6446,2019,all,259,32
1359-6446,2020,core,188,28
1359-6446,2020,all,251,35
1359-6446,2021,core,229,40
1359-6446,2021,all,281,50
1359-6446,2022,core,236,45
1359-6446,2022,all,287,56
1359-6446,2023,core,216,46
1359-6446,2023,all,285,65
1359-6454,2019,core,718,82
1359-6454,2019,all,726,82
1359-6454,2020,core,812,121
1359-6454,2020,all,817,121
1359-6454,2021,core,788,155
1359-6454,2021,all,794,155
1359-6454,2022,core,736,150
1359-6454,2022,all,746,150
1359-6454,2023,core,741,160
1359-6454,2023,all,751,162
1359-6462,2019,core,542,34
1359-6462,2019,all,550,34
1359-6462,2020,core,613,39
1359-6462,2020,all,621,39
1359-6462,2021,core,559,68
1359-6462,2021,all,571,68
1359-6462,2022,core,537,65
1359-6462,2022,all,549,65
1359-6462,2023,core,505,62
1359-6462,2023,all,515,62
1359-6535,2019,core,64,0
1359-6535,2019,all,70,0
1359-6535,2020,core,20,2
1359-6535,2020,all,20,2
1359-6535,2021,core,45,5
1359-6535,2021,all,46,5
1359-6535,2022,core,35,25
1359-6535,2022,all,38,27
1359-6535,2023,core,23,21
1359-6535,2023,all,24,22
1359-6640,2019,core,196,47
1359-6640,2019,all,261,48
1359-6640,2020,core,64,13
1359-6640,2020,all,74,13
1359-6640,2021,core,234,81
1359-6640,2021,all,260,81
1359-6640,2022,core,200,98
1359-6640,2022,all,244,98
1359-6640,2023,core,169,94
1359-6640,2023,all,200,94
1359-6748,2019,core,23,0
1359-6748,2019,all,24,0
1359-6748,2020,core,24,1
1359-6748,2020,all,24,1
1359-6748,2021,core,26,5
1359-6748,2021,all,26,5
1359-6748,2022,core,31,6
1359-6748,2022,all,32,6
1359-6748,2023,core,34,12
1359-6748,2023,all,35,12
1359-7345,2019,core,3247,238
1359-7345,2019,all,3301,284
1359-7345,2020,core,3066,285
1359-7345,2020,all,3128,343
1359-7345,2021,core,2541,280
1359-7345,2021,all,2580,314
1359-7345,2022,core,2736,411
1359-7345,2022,all,2783,453
1359-7345,2023,core,2460,448
1359-7345,2023,all,2504,480
1359-7566,2019,core,29,1
1359-7566,2019,all,30,1
1359-7566,2020,core,29,5
1359-7566,2020,all,31,5
1359-7566,2021,core,39,10
1359-7566,2021,all,41,10
1359-7566,2022,core,48,16
1359-7566,2022,all,48,16
1359-7566,2023,core,59,25
1359-7566,2023,all,59,25
1359-8139,2019,core,12,0
1359-8139,2019,all,15,0
1359-8139,2020,core,11,0
1359-8139,2020,all,13,0
1359-8139,2021,core,10,0
1359-8139,2021,all,11,0
1359-8139,2022,core,13,1
1359-8139,2022,all,13,1
1359-8139,2023,core,14,1
1359-8139,2023,all,15,1
1359-835X,2019,core,394,9
1359-835X,2019,all,399,9
1359-835X,2020,core,371,20
1359-835X,2020,all,374,20
1359-835X,2021,core,413,38
1359-835X,2021,all,415,38
1359-835X,2022,core,473,45
1359-835X,2022,all,474,45
1359-835X,2023,core,454,96
1359-835X,2023,all,458,97
1359-8368,2019,core,1518,14
1359-8368,2019,all,1534,14
1359-8368,2020,core,708,32
1359-8368,2020,all,717,32
1359-8368,2021,core,680,52
1359-8368,2021,all,694,52
1359-8368,2022,core,740,51
1359-8368,2022,all,752,51
1359-8368,2023,core,544,76
1359-8368,2023,all,550,77
1359-8546,2019,core,50,1
1359-8546,2019,all,51,1
1359-8546,2020,core,62,5
1359-8546,2020,all,62,5
1359-8546,2021,core,31,4
1359-8546,2021,all,33,4
1359-8546,2022,core,56,11
1359-8546,2022,all,57,11
1359-8546,2023,core,89,9
1359-8546,2023,all,89,9
1359-866X,2019,core,32,2
1359-866X,2019,all,37,2
1359-866X,2020,core,43,3
1359-866X,2020,all,48,4
1359-866X,2021,core,26,1
1359-866X,2021,all,31,1
1359-866X,2022,core,30,2
1359-866X,2022,all,42,2
1359-866X,2023,core,32,12
1359-866X,2023,all,39,13
1360-080X,2019,core,40,0
1360-080X,2019,all,46,0
1360-080X,2020,core,38,1
1360-080X,2020,all,44,1
1360-080X,2021,core,36,2
1360-080X,2021,all,41,2
1360-080X,2022,core,36,4
1360-080X,2022,all,42,4
1360-080X,2023,core,59,22
1360-080X,2023,all,65,22
1360-0818,2019,core,28,3
1360-0818,2019,all,29,3
1360-0818,2020,core,27,2
1360-0818,2020,all,28,2
1360-0818,2021,core,24,4
1360-0818,2021,all,24,4
1360-0818,2022,core,24,8
1360-0818,2022,all,25,8
1360-0818,2023,core,28,8
1360-0818,2023,all,32,9
1360-0826,2019,core,32,3
1360-0826,2019,all,39,3
1360-0826,2020,core,31,11
1360-0826,2020,all,32,11
1360-0826,2021,core,25,1
1360-0826,2021,all,27,1
1360-0826,2022,core,26,15
1360-0826,2022,all,28,15
1360-0826,2023,core,46,23
1360-0826,2023,all,47,23
1360-0834,2019,core,17,3
1360-0834,2019,all,18,3
1360-0834,2020,core,18,4
1360-0834,2020,all,19,4
1360-0834,2021,core,17,3
1360-0834,2021,all,19,3
1360-0834,2022,core,17,7
1360-0834,2022,all,18,7
1360-0834,2023,core,25,10
1360-0834,2023,all,25,10
1360-0869,2019,core,17,2
1360-0869,2019,all,19,2
1360-0869,2020,core,21,7
1360-0869,2020,all,23,7
1360-0869,2021,core,16,2
1360-0869,2021,all,18,2
1360-0869,2022,core,24,9
1360-0869,2022,all,27,9
1360-0869,2023,core,27,8
1360-0869,2023,all,29,8
1360-1385,2019,core,83,8
1360-1385,2019,all,131,9
1360-1385,2020,core,83,24
1360-1385,2020,all,160,28
1360-1385,2021,core,83,17
1360-1385,2021,all,146,21
1360-1385,2022,core,84,17
1360-1385,2022,all,156,23
1360-1385,2023,core,120,37
1360-1385,2023,all,241,44
1360-144X,2019,core,29,2
1360-144X,2019,all,33,2
1360-144X,2020,core,31,2
1360-144X,2020,all,36,2
1360-144X,2021,core,38,6
1360-144X,2021,all,44,6
1360-144X,2022,core,58,17
1360-144X,2022,all,72,17
1360-144X,2023,core,53,17
1360-144X,2023,all,62,17
1360-2004,2019,core,36,0
1360-2004,2019,all,39,0
1360-2004,2020,core,41,6
1360-2004,2020,all,43,6
1360-2004,2021,core,47,5
1360-2004,2021,all,47,5
1360-2004,2022,core,30,5
1360-2004,2022,all,30,5
1360-2004,2023,core,2,0
1360-2004,2023,all,2,0
1360-2276,2019,core,127,34
1360-2276,2019,all,140,34
1360-2276,2020,core,147,32
1360-2276,2020,all,154,34
1360-2276,2021,core,165,37
1360-2276,2021,all,171,37
1360-2276,2022,core,105,27
1360-2276,2022,all,110,27
1360-2276,2023,core,101,37
1360-2276,2023,all,104,37
1360-2322,2019,core,132,27
1360-2322,2019,all,136,27
1360-2322,2020,core,113,32
1360-2322,2020,all,136,34
1360-2322,2021,core,123,47
1360-2322,2021,all,124,47
1360-2322,2022,core,100,17
1360-2322,2022,all,115,22
1360-2322,2023,core,128,89
1360-2322,2023,all,130,90
1360-2357,2019,core,183,13
1360-2357,2019,all,190,13
1360-2357,2020,core,278,32
1360-2357,2020,all,294,32
1360-2357,2021,core,326,51
1360-2357,2021,all,355,57
1360-2357,2022,core,513,104
1360-2357,2022,all,543,108
1360-2357,2023,core,1134,235
1360-2357,2023,all,1186,245
1360-2365,2019,core,47,4
1360-2365,2019,all,51,4
1360-2365,2020,core,46,8
1360-2365,2020,all,47,8
1360-2365,2021,core,55,10
1360-2365,2021,all,56,10
1360-2365,2022,core,43,19
1360-2365,2022,all,49,19
1360-2365,2023,core,55,32
1360-2365,2023,all,67,33
1360-2381,2019,core,35,0
1360-2381,2019,all,37,0
1360-2381,2020,core,27,0
1360-2381,2020,all,31,0
1360-2381,2021,core,36,2
1360-2381,2021,all,37,2
1360-2381,2022,core,56,7
1360-2381,2022,all,57,7
1360-2381,2023,core,81,5
1360-2381,2023,all,82,5
1360-3108,2019,core,22,0
1360-3108,2019,all,25,0
1360-3108,2020,core,22,0
1360-3108,2020,all,27,0
1360-3108,2021,core,20,2
1360-3108,2021,all,23,2
1360-3108,2022,core,22,7
1360-3108,2022,all,28,7
1360-3108,2023,core,32,11
1360-3108,2023,all,41,12
1360-3116,2019,core,85,2
1360-3116,2019,all,88,2
1360-3116,2020,core,122,9
1360-3116,2020,all,122,9
1360-3116,2021,core,219,33
1360-3116,2021,all,225,33
1360-3116,2022,core,172,36
1360-3116,2022,all,174,36
1360-3116,2023,core,164,47
1360-3116,2023,all,165,47
1360-3124,2019,core,40,1
1360-3124,2019,all,52,1
1360-3124,2020,core,70,6
1360-3124,2020,all,76,6
1360-3124,2021,core,120,16
1360-3124,2021,all,121,16
1360-3124,2022,core,104,19
1360-3124,2022,all,109,19
1360-3124,2023,core,102,20
1360-3124,2023,all,109,20
1360-3736,2019,core,19,0
1360-3736,2019,all,20,0
1360-3736,2020,core,22,5
1360-3736,2020,all,25,6
1360-3736,2021,core,23,4
1360-3736,2021,all,25,4
1360-3736,2022,core,34,18
1360-3736,2022,all,35,18
1360-3736,2023,core,30,15
1360-3736,2023,all,31,15
1360-4813,2019,core,38,4
1360-4813,2019,all,46,4
1360-4813,2020,core,56,5
1360-4813,2020,all,62,6
1360-4813,2021,core,34,12
1360-4813,2021,all,39,12
1360-4813,2022,core,53,22
1360-4813,2022,all,62,22
1360-4813,2023,core,51,21
1360-4813,2023,all,58,21
1360-6441,2019,core,27,5
1360-6441,2019,all,28,5
1360-6441,2020,core,29,4
1360-6441,2020,all,34,4
1360-6441,2021,core,37,6
1360-6441,2021,all,43,6
1360-6441,2022,core,29,8
1360-6441,2022,all,37,10
1360-6441,2023,core,27,12
1360-6441,2023,all,39,19
1360-6743,2019,core,32,2
1360-6743,2019,all,33,2
1360-6743,2020,core,32,7
1360-6743,2020,all,32,7
1360-6743,2021,core,29,13
1360-6743,2021,all,30,14
1360-6743,2022,core,35,22
1360-6743,2022,all,35,22
1360-6743,2023,core,21,14
1360-6743,2023,all,22,15
1360-7456,2019,core,29,3
1360-7456,2019,all,30,3
1360-7456,2020,core,39,9
1360-7456,2020,all,40,10
1360-7456,2021,core,29,1
1360-7456,2021,all,29,1
1360-7456,2022,core,30,8
1360-7456,2022,all,33,8
1360-7456,2023,core,40,15
1360-7456,2023,all,42,16
1360-7804,2019,core,64,3
1360-7804,2019,all,66,3
1360-7804,2020,core,64,25
1360-7804,2020,all,66,26
1360-7804,2021,core,14,5
1360-7804,2021,all,14,5
1360-7804,2022,core,74,27
1360-7804,2022,all,76,28
1360-7804,2023,core,103,53
1360-7804,2023,all,107,54
1360-7863,2019,core,198,13
1360-7863,2019,all,213,13
1360-7863,2020,core,265,32
1360-7863,2020,all,269,33
1360-7863,2021,core,260,32
1360-7863,2021,all,264,34
1360-7863,2022,core,275,40
1360-7863,2022,all,278,40
1360-7863,2023,core,372,101
1360-7863,2023,all,377,101
1360-8185,2019,core,72,10
1360-8185,2019,all,83,10
1360-8185,2020,core,61,20
1360-8185,2020,all,69,21
1360-8185,2021,core,42,7
1360-8185,2021,all,51,9
1360-8185,2022,core,72,12
1360-8185,2022,all,77,12
1360-8185,2023,core,138,21
1360-8185,2023,all,145,22
1360-8592,2019,core,121,2
1360-8592,2019,all,157,2
1360-8592,2020,core,185,5
1360-8592,2020,all,190,5
1360-8592,2021,core,298,7
1360-8592,2021,all,301,7
1360-8592,2022,core,126,7
1360-8592,2022,all,127,7
1360-8592,2023,core,167,12
1360-8592,2023,all,169,12
1360-8746,2019,core,20,1
1360-8746,2019,all,21,2
1360-8746,2020,core,24,1
1360-8746,2020,all,26,1
1360-8746,2021,core,24,4
1360-8746,2021,all,25,4
1360-8746,2022,core,16,2
1360-8746,2022,all,18,2
1360-8746,2023,core,5,1
1360-8746,2023,all,6,2
1360-9939,2019,core,19,2
1360-9939,2019,all,19,2
1360-9939,2020,core,16,1
1360-9939,2020,all,16,1
1360-9939,2021,core,25,7
1360-9939,2021,all,27,8
1360-9939,2022,core,23,2
1360-9939,2022,all,23,2
1360-9939,2023,core,24,9
1360-9939,2023,all,24,9
1360-9947,2019,core,62,7
1360-9947,2019,all,63,7
1360-9947,2020,core,73,10
1360-9947,2020,all,75,11
1360-9947,2021,core,87,12
1360-9947,2021,all,89,12
1360-9947,2022,core,41,5
1360-9947,2022,all,41,5
1360-9947,2023,core,43,12
1360-9947,2023,all,48,13
1361-1267,2019,core,28,0
1361-1267,2019,all,34,0
1361-1267,2020,core,29,0
1361-1267,2020,all,35,0
1361-1267,2021,core,28,2
1361-1267,2021,all,32,2
1361-1267,2022,core,31,4
1361-1267,2022,all,36,4
1361-1267,2023,core,33,7
1361-1267,2023,all,38,7
1361-1682,2019,core,68,5
1361-1682,2019,all,72,6
1361-1682,2020,core,84,9
1361-1682,2020,all,88,9
1361-1682,2021,core,142,28
1361-1682,2021,all,152,28
1361-1682,2022,core,151,21
1361-1682,2022,all,158,21
1361-1682,2023,core,104,33
1361-1682,2023,all,105,33
1361-2026,2019,core,34,0
1361-2026,2019,all,35,0
1361-2026,2020,core,49,0
1361-2026,2020,all,50,0
1361-2026,2021,core,26,3
1361-2026,2021,all,26,3
1361-2026,2022,core,58,6
1361-2026,2022,all,59,6
1361-2026,2023,core,96,0
1361-2026,2023,all,96,0
1361-3324,2019,core,45,2
1361-3324,2019,all,46,2
1361-3324,2020,core,50,0
1361-3324,2020,all,51,0
1361-3324,2021,core,64,3
1361-3324,2021,all,65,3
1361-3324,2022,core,77,3
1361-3324,2022,all,78,3
1361-3324,2023,core,88,19
1361-3324,2023,all,91,19
1361-374X,2019,core,33,0
1361-374X,2019,all,35,0
1361-374X,2020,core,29,0
1361-374X,2020,all,29,0
1361-374X,2021,core,26,0
1361-374X,2021,all,28,0
1361-374X,2022,core,22,0
1361-374X,2022,all,23,0
1361-374X,2023,core,39,4
1361-374X,2023,all,40,4
1361-4533,2019,core,21,2
1361-4533,2019,all,23,2
1361-4533,2020,core,18,0
1361-4533,2020,all,20,0
1361-4533,2021,core,22,3
1361-4533,2021,all,26,5
1361-4533,2022,core,23,5
1361-4533,2022,all,27,5
1361-4533,2023,core,20,9
1361-4533,2023,all,22,9
1361-4568,2019,core,13,0
1361-4568,2019,all,14,0
1361-4568,2020,core,6,0
1361-4568,2020,all,6,0
1361-4568,2021,core,13,4
1361-4568,2021,all,15,4
1361-4568,2022,core,8,5
1361-4568,2022,all,10,6
1361-4568,2023,core,7,0
1361-4568,2023,all,7,0
1361-4576,2019,core,8,0
1361-4576,2019,all,8,0
1361-4576,2020,core,8,1
1361-4576,2020,all,8,1
1361-4576,2021,core,7,0
1361-4576,2021,all,7,0
1361-4576,2022,core,6,0
1361-4576,2022,all,7,0
1361-4576,2023,core,4,0
1361-4576,2023,all,5,0
1361-4916,2019,core,17,1
1361-4916,2019,all,17,1
1361-4916,2020,core,34,6
1361-4916,2020,all,37,7
1361-4916,2021,core,32,3
1361-4916,2021,all,35,3
1361-4916,2022,core,25,10
1361-4916,2022,all,25,10
1361-4916,2023,core,28,7
1361-4916,2023,all,29,8
1361-7427,2019,core,10,0
1361-7427,2019,all,10,0
1361-7427,2020,core,11,2
1361-7427,2020,all,13,2
1361-7427,2021,core,11,2
1361-7427,2021,all,11,2
1361-7427,2022,core,10,3
1361-7427,2022,all,11,3
1361-7427,2023,core,4,0
1361-7427,2023,all,6,0
1361-7672,2019,core,33,3
1361-7672,2019,all,36,3
1361-7672,2020,core,35,2
1361-7672,2020,all,40,2
1361-7672,2021,core,36,6
1361-7672,2021,all,37,6
1361-7672,2022,core,42,6
1361-7672,2022,all,45,6
1361-7672,2023,core,77,29
1361-7672,2023,all,78,29
1361-8415,2019,core,146,20
1361-8415,2019,all,148,20
1361-8415,2020,core,158,24
1361-8415,2020,all,159,24
1361-8415,2021,core,350,91
1361-8415,2021,all,356,91
1361-8415,2022,core,285,82
1361-8415,2022,all,294,83
1361-8415,2023,core,255,76
1361-8415,2023,all,270,81
1361-9209,2019,core,277,24
1361-9209,2019,all,281,24
1361-9209,2020,core,363,53
1361-9209,2020,all,371,53
1361-9209,2021,core,358,90
1361-9209,2021,all,367,90
1361-9209,2022,core,321,87
1361-9209,2022,all,327,87
1361-9209,2023,core,342,97
1361-9209,2023,all,357,97
1361-9322,2019,core,23,1
1361-9322,2019,all,23,1
1361-9322,2020,core,27,1
1361-9322,2020,all,28,1
1361-9322,2021,core,29,1
1361-9322,2021,all,29,1
1361-9322,2022,core,33,0
1361-9322,2022,all,35,0
1361-9322,2023,core,30,2
1361-9322,2023,all,30,2
1361-9462,2019,core,27,2
1361-9462,2019,all,29,2
1361-9462,2020,core,28,2
1361-9462,2020,all,29,2
1361-9462,2021,core,22,8
1361-9462,2021,all,22,8
1361-9462,2022,core,21,12
1361-9462,2022,all,22,12
1361-9462,2023,core,35,17
1361-9462,2023,all,36,17
1362-0347,2019,core,30,3
1362-0347,2019,all,44,3
1362-0347,2020,core,25,7
1362-0347,2020,all,31,11
1362-0347,2021,core,25,11
1362-0347,2021,all,32,13
1362-0347,2022,core,36,27
1362-0347,2022,all,41,28
1362-0436,2019,core,38,1
1362-0436,2019,all,39,1
1362-0436,2020,core,43,2
1362-0436,2020,all,44,2
1362-0436,2021,core,45,7
1362-0436,2021,all,45,7
1362-0436,2022,core,33,2
1362-0436,2022,all,35,2
1362-0436,2023,core,45,9
1362-0436,2023,all,47,9
1362-1017,2019,core,45,0
1362-1017,2019,all,65,0
1362-1017,2020,core,40,4
1362-1017,2020,all,57,5
1362-1017,2021,core,58,9
1362-1017,2021,all,82,15
1362-1017,2022,core,123,29
1362-1017,2022,all,146,30
1362-1017,2023,core,168,56
1362-1017,2023,all,199,58
1362-1025,2019,core,47,9
1362-1025,2019,all,51,11
1362-1025,2020,core,58,6
1362-1025,2020,all,62,6
1362-1025,2021,core,60,18
1362-1025,2021,all,64,19
1362-1025,2022,core,83,35
1362-1025,2022,all,87,35
1362-1025,2023,core,43,18
1362-1025,2023,all,46,19
1362-1688,2019,core,36,3
1362-1688,2019,all,40,3
1362-1688,2020,core,52,1
1362-1688,2020,all,58,1
1362-1688,2021,core,170,19
1362-1688,2021,all,174,19
