issn_l,earliest_year,pubtype,ta_articles,ta_oa_articles,ta_first_author_articles,ta_oa_first_author_articles,ta_corresponding_author_articles,ta_oa_corresponding_author_articles,ta_first_corresponding_author_articles,ta_oa_first_corresponding_author_articles
0003-1305,2023,core,19,12,18,12,19,12,15,9
0003-1305,2023,all,20,12,19,12,19,12,15,9
0003-1348,2023,core,81,16,78,16,78,16,35,6
0003-1348,2023,all,83,16,79,16,80,16,36,6
0003-150X,2023,core,1,0,1,0,1,0,1,0
0003-150X,2023,all,2,0,2,0,2,0,2,0
0003-1615,2023,core,10,5,10,5,10,5,10,5
0003-1615,2023,all,10,5,10,5,10,5,10,5
0003-2409,2023,core,72,49,67,45,69,48,42,32
0003-2409,2023,all,166,54,159,50,160,53,120,37
0003-2638,2023,core,24,15,24,15,19,12,19,12
0003-2638,2023,all,26,15,26,15,21,12,21,12
0003-2654,2023,core,80,65,65,57,77,64,11,11
0003-2654,2023,all,81,65,66,57,78,64,12,11
0003-2670,2023,core,156,96,143,94,151,95,48,35
0003-2670,2023,all,159,96,146,94,154,95,50,35
0003-2697,2023,core,26,15,22,11,23,14,9,5
0003-2697,2023,all,27,15,23,11,24,14,10,5
0003-2700,2023,core,286,210,258,196,274,204,51,43
0003-2700,2023,all,287,211,259,197,275,205,51,43
0003-2719,2023,core,7,2,7,2,5,2,1,1
0003-2719,2023,all,7,2,7,2,5,2,1,1
0003-2999,2023,core,8,2,8,2,7,2,5,1
0003-2999,2023,all,13,2,12,2,10,2,7,1
0003-3022,2023,core,8,1,7,1,8,1,4,1
0003-3022,2023,all,12,1,10,1,10,1,5,1
0003-3197,2023,core,10,3,7,3,9,2,2,0
0003-3197,2023,all,12,3,8,3,11,2,3,0
0003-3472,2023,core,94,67,93,66,91,66,68,50
0003-3472,2023,all,96,67,95,66,93,66,70,50
0003-3790,2023,core,18,14,18,14,18,14,18,14
0003-3790,2023,all,18,14,18,14,18,14,18,14
0003-3804,2023,core,76,57,74,56,74,57,58,45
