issn_l,cr_year,ta_articles,oa_articles
0003-0554,2020,16,9
0003-0554,2021,48,38
0003-0554,2022,41,39
0003-0554,2023,66,65
0003-066X,2022,1,0
0003-066X,2023,1,1
0003-1224,2020,6,4
0003-1224,2021,6,6
0003-1224,2022,7,4
0003-1224,2023,13,11
0003-1232,2020,5,5
0003-1232,2021,8,6
0003-1232,2022,8,7
0003-1232,2023,14,11
0003-1305,2020,1,0
0003-1305,2021,5,4
0003-1305,2022,7,4
0003-1305,2023,11,10
0003-1313,2021,1,1
0003-1348,2021,5,1
0003-1348,2022,53,13
0003-1348,2023,50,31
0003-1615,2019,8,0
0003-1615,2020,9,0
0003-1615,2021,19,5
0003-1615,2022,10,3
0003-1615,2023,17,3
0003-2409,2019,9,4
0003-2409,2020,106,25
0003-2409,2021,81,18
0003-2409,2022,129,40
0003-2409,2023,133,48
0003-2417,2019,7,2
0003-2417,2020,121,37
0003-2417,2021,114,32
0003-2417,2022,17,2
0003-2638,2021,24,12
0003-2638,2022,28,12
0003-2638,2023,31,19
0003-2654,2019,5,2
0003-2654,2020,9,9
0003-2654,2021,19,17
0003-2654,2022,33,29
0003-2654,2023,57,51
0003-2670,2020,22,3
0003-2670,2021,77,50
0003-2670,2022,90,70
0003-2670,2023,112,91
0003-2697,2019,5,0
0003-2697,2020,11,6
0003-2697,2021,9,5
0003-2697,2022,23,15
0003-2697,2023,17,10
0003-2700,2019,20,0
0003-2700,2020,87,7
0003-2700,2021,106,85
0003-2700,2022,176,157
0003-2700,2023,205,177
0003-2719,2021,2,1
0003-2719,2022,5,2
0003-2719,2023,3,2
0003-2999,2021,11,4
0003-2999,2022,14,3
0003-2999,2023,11,4
0003-3022,2021,11,0
0003-3022,2022,17,0
0003-3022,2023,14,0
0003-3197,2020,8,2
0003-3197,2021,16,11
0003-3197,2022,5,3
0003-3197,2023,4,3
0003-3286,2020,1,0
0003-3286,2022,3,3
0003-3286,2023,3,3
0003-3472,2019,3,0
0003-3472,2020,16,8
0003-3472,2021,39,25
0003-3472,2022,62,43
0003-3472,2023,86,62
0003-3790,2019,1,1
0003-3790,2020,4,2
0003-3790,2021,9,3
0003-3790,2022,8,3
0003-3790,2023,20,14
0003-3804,2019,16,1
0003-3804,2020,14,7
0003-3804,2021,16,16
0003-3804,2022,42,33
0003-3804,2023,67,52
0003-4088,2019,3,2
0003-4088,2021,3,3
0003-4266,2019,1,0
0003-4266,2021,7,0
0003-4266,2022,4,2
0003-4266,2023,14,3
0003-4347,2019,1,0
0003-4347,2020,6,5
0003-4347,2021,6,4
0003-4347,2022,4,3
0003-4347,2023,8,7
0003-4452,2020,3,0
0003-4452,2021,3,0
0003-4452,2022,9,2
0003-4452,2023,6,3
0003-4487,2020,2,0
0003-4487,2021,3,2
0003-4487,2022,4,4
0003-4487,2023,12,4
0003-4746,2019,2,0
0003-4746,2020,22,8
0003-4746,2021,13,7
0003-4746,2022,19,12
0003-4746,2023,21,18
0003-4800,2019,3,3
0003-4800,2020,5,1
0003-4800,2021,6,2
0003-4800,2022,7,3
0003-4800,2023,11,8
0003-4894,2020,5,2
0003-4894,2021,14,9
0003-4894,2022,22,9
0003-4894,2023,14,7
0003-4916,2019,4,0
0003-4916,2020,8,2
0003-4916,2021,16,7
0003-4916,2022,21,11
0003-4916,2023,39,18
0003-4932,2021,27,10
0003-4932,2022,43,24
0003-4932,2023,51,29
0003-4967,2019,10,2
0003-4967,2020,17,5
0003-4967,2021,40,20
0003-4967,2022,22,6
0003-4967,2023,28,17
0003-4975,2020,13,1
0003-4975,2021,33,4
0003-4975,2022,57,11
0003-4975,2023,63,0
0003-567X,2021,10,9
0003-567X,2022,5,5
0003-567X,2023,8,8
0003-5696,2020,2,2
0003-5696,2021,1,1
0003-5696,2022,3,3
0003-5696,2023,4,3
0003-5815,2020,1,1
0003-5815,2021,4,1
0003-5815,2022,4,3
0003-5815,2023,7,6
0003-598X,2019,13,5
0003-598X,2020,24,14
0003-598X,2021,62,24
0003-598X,2022,67,33
0003-598X,2023,90,60
0003-603X,2020,8,7
0003-603X,2021,3,1
0003-603X,2022,7,4
0003-603X,2023,2,1
0003-6072,2019,11,6
0003-6072,2020,25,20
0003-6072,2021,14,11
0003-6072,2022,16,13
0003-6072,2023,10,10
0003-6390,2020,1,1
0003-6390,2021,2,1
0003-6390,2022,1,1
0003-6390,2023,1,1
0003-6811,2019,1,1
0003-6811,2020,3,1
0003-6811,2021,6,4
0003-6811,2022,3,0
0003-6811,2023,7,4
0003-682X,2019,11,0
0003-682X,2020,21,6
0003-682X,2021,49,22
0003-682X,2022,61,31
0003-682X,2023,79,47
0003-6838,2021,1,0
0003-6846,2019,1,1
0003-6846,2020,6,2
0003-6846,2021,25,12
0003-6846,2022,20,6
0003-6846,2023,65,45
0003-6862,2022,2,1
0003-6862,2023,5,2
0003-6870,2020,20,3
0003-6870,2021,30,19
0003-6870,2022,47,28
0003-6870,2023,70,42
0003-6951,2020,23,0
0003-6951,2021,162,0
0003-6951,2022,221,0
0003-6951,2023,243,0
0003-701X,2020,1,0
0003-7028,2020,14,8
0003-7028,2021,20,15
0003-7028,2022,23,12
0003-7028,2023,19,8
0003-7982,2020,5,5
0003-7982,2021,1,0
0003-7982,2022,6,6
0003-7982,2023,5,3
0003-8032,2021,7,7
0003-8032,2023,8,8
0003-813X,2019,1,0
0003-813X,2020,19,13
0003-813X,2021,16,12
0003-813X,2022,33,23
0003-813X,2023,26,24
0003-8628,2020,1,0
0003-8628,2021,6,4
0003-8628,2022,1,1
0003-8628,2023,11,7
0003-889X,2019,12,10
0003-889X,2020,35,20
0003-889X,2021,31,26
0003-889X,2022,39,27
0003-889X,2023,41,30
0003-9101,2019,1,1
0003-9101,2020,4,4
0003-9101,2021,3,2
0003-9101,2022,3,3
0003-9101,2023,7,6
0003-9519,2019,2,2
0003-9519,2020,8,4
0003-9519,2021,4,3
0003-9519,2022,10,8
0003-9519,2023,8,4
0003-9527,2019,9,7
0003-9527,2020,31,15
0003-9527,2021,49,33
0003-9527,2022,30,19
0003-9527,2023,55,39
0003-9756,2019,2,0
0003-9756,2020,6,4
0003-9756,2021,5,0
0003-9756,2022,8,3
0003-9756,2023,5,4
0003-9861,2019,7,0
0003-9861,2020,16,5
0003-9861,2021,22,9
0003-9861,2022,23,9
0003-9861,2023,29,18
0003-9888,2019,13,0
0003-9888,2020,3,3
0003-9888,2021,116,20
0003-9888,2022,96,19
0003-9888,2023,123,24
0003-9969,2019,5,0
0003-9969,2020,8,1
0003-9969,2021,4,0
0003-9969,2022,13,5
0003-9969,2023,15,10
0003-9993,2020,24,3
0003-9993,2021,29,9
0003-9993,2022,31,14
0003-9993,2023,41,16
0004-0002,2019,20,14
0004-0002,2020,51,32
0004-0002,2021,62,48
0004-0002,2022,79,60
0004-0002,2023,73,53
0004-069X,2019,15,13
0004-069X,2020,12,10
0004-069X,2021,19,15
0004-069X,2022,1,1
0004-069X,2023,1,1
0004-0894,2019,1,1
0004-0894,2020,50,28
0004-0894,2021,45,28
0004-0894,2022,59,54
0004-0894,2023,38,36
0004-3389,2023,1,0
0004-3702,2019,2,0
0004-3702,2020,4,0
0004-3702,2021,19,11
0004-3702,2022,38,25
0004-3702,2023,59,39
0004-4717,2021,2,0
0004-4717,2022,1,0
0004-5411,2021,1,0
0004-5411,2022,1,0
0004-5411,2023,10,0
0004-5632,2020,15,5
0004-5632,2021,27,5
0004-5632,2022,15,3
0004-5632,2023,15,3
0004-6264,2020,7,4
0004-6264,2021,7,0
0004-6264,2022,5,0
0004-6264,2023,8,1
0004-6280,2020,5,3
0004-6280,2021,7,5
0004-6280,2022,11,11
0004-6280,2023,26,23
0004-6337,2019,21,10
0004-6337,2020,22,13
0004-6337,2021,43,29
0004-6337,2022,20,14
0004-6337,2023,53,35
0004-6361,2019,279,229
0004-6361,2020,261,229
0004-6361,2021,407,359
0004-6361,2022,432,414
0004-6361,2023,382,382
0004-640X,2019,3,1
0004-640X,2020,6,2
0004-640X,2021,8,6
0004-640X,2022,9,7
0004-640X,2023,18,14
0004-8038,2020,2,0
0004-8038,2021,2,1
0004-8038,2022,3,3
0004-8038,2023,2,1
0004-8380,2019,1,0
0004-8380,2020,18,1
0004-8380,2021,17,7
0004-8380,2022,75,35
0004-8380,2023,85,44
0004-8402,2019,1,1
0004-8402,2020,5,4
0004-8402,2021,18,12
0004-8402,2022,12,11
0004-8402,2023,14,5
0004-8658,2020,1,1
0004-8666,2020,3,0
0004-8666,2021,3,1
0004-8666,2022,112,63
0004-8666,2023,92,53
0004-8674,2019,1,0
0004-8674,2020,8,4
