issn_l,cr_year,ta_articles,oa_articles
0957-7572,2022,26,24
0957-7572,2023,25,22
0957-7734,2019,2,1
0957-7734,2020,18,9
0957-7734,2021,38,22
0957-7734,2022,42,29
0957-7734,2023,63,52
0957-8234,2021,2,0
0957-8234,2022,1,0
0957-8234,2023,1,0
0957-8536,2019,5,3
0957-8536,2020,12,10
0957-8536,2021,10,10
0957-8536,2022,14,13
0957-8536,2023,23,20
0957-8765,2019,13,11
0957-8765,2020,26,17
0957-8765,2021,28,25
0957-8765,2022,32,23
0957-8765,2023,29,25
0957-8811,2020,8,7
0957-8811,2021,19,17
0957-8811,2022,21,18
0957-8811,2023,18,13
0957-9265,2020,11,8
0957-9265,2021,13,8
0957-9265,2022,21,15
0957-9265,2023,20,8
0957-9656,2022,1,0
0957-9656,2023,1,0
0957-9664,2019,2,0
0957-9664,2020,14,5
0957-9664,2021,16,11
0957-9664,2022,17,10
0957-9664,2023,24,15
0957-9672,2021,3,2
0957-9672,2022,8,3
0957-9672,2023,6,3
0958-0344,2019,3,0
0958-0344,2020,9,6
0958-0344,2021,4,2
0958-0344,2022,8,8
0958-0344,2023,19,10
0958-1669,2019,1,0
0958-1669,2020,26,11
0958-1669,2021,40,21
0958-1669,2022,52,35
0958-1669,2023,41,25
0958-2029,2019,1,1
0958-2029,2020,2,0
0958-2029,2021,17,10
0958-2029,2022,16,11
0958-2029,2023,20,16
0958-2592,2020,4,1
0958-2592,2021,8,0
0958-2592,2022,6,2
0958-2592,2023,23,12
0958-305X,2021,2,2
0958-305X,2022,8,5
0958-305X,2023,5,2
0958-3157,2021,3,3
0958-3157,2022,4,2
0958-3157,2023,4,1
0958-3440,2019,1,1
0958-3440,2020,2,0
0958-3440,2021,4,3
0958-3440,2022,6,5
0958-3440,2023,7,6
0958-4935,2019,2,2
0958-4935,2020,1,0
0958-4935,2021,16,6
0958-4935,2022,18,7
0958-4935,2023,25,15
0958-5176,2020,42,20
0958-5176,2021,20,10
0958-5176,2022,34,27
0958-5176,2023,30,20
0958-5192,2019,4,4
0958-5192,2020,1,1
0958-5192,2021,28,23
0958-5192,2022,27,21
0958-5192,2023,31,22
0958-6946,2019,4,0
0958-6946,2020,26,12
0958-6946,2021,47,15
0958-6946,2022,41,19
0958-6946,2023,55,30
0958-7578,2019,1,0
0958-7578,2020,13,3
0958-7578,2021,11,3
0958-7578,2022,22,13
0958-7578,2023,17,8
0958-8221,2019,1,1
0958-8221,2020,2,2
0958-8221,2021,6,5
0958-8221,2022,8,6
0958-8221,2023,5,4
0958-9236,2019,5,4
0958-9236,2020,2,1
0958-9236,2021,26,18
0958-9236,2022,16,7
0958-9236,2023,35,25
0958-9287,2020,14,6
0958-9287,2021,24,20
0958-9287,2022,22,14
0958-9287,2023,18,14
0958-9465,2019,1,0
0958-9465,2020,16,9
0958-9465,2021,25,15
0958-9465,2022,47,35
0958-9465,2023,78,50
0959-0552,2020,4,0
0959-0552,2021,10,0
0959-0552,2022,10,0
0959-0552,2023,13,0
0959-1524,2019,2,0
0959-1524,2020,9,2
0959-1524,2021,9,4
0959-1524,2022,24,14
0959-1524,2023,35,21
0959-2296,2019,1,1
0959-2296,2020,2,1
0959-2296,2021,22,7
0959-2296,2022,39,16
0959-2296,2023,19,8
0959-2318,2020,4,3
0959-2318,2021,24,8
0959-2318,2022,11,6
0959-2318,2023,11,7
0959-2695,2019,1,0
0959-2695,2020,3,2
0959-2695,2021,4,3
0959-2695,2022,10,9
0959-2695,2023,14,9
0959-2709,2019,1,1
0959-2709,2020,3,2
0959-2709,2021,7,3
0959-2709,2022,18,11
0959-2709,2023,12,10
0959-289X,2020,11,0
0959-289X,2021,22,2
0959-289X,2022,14,1
0959-289X,2023,18,4
0959-3330,2019,3,3
0959-3330,2020,9,3
0959-3330,2021,12,9
0959-3330,2022,12,8
0959-3330,2023,14,8
0959-3535,2020,8,6
0959-3535,2021,14,11
0959-3535,2022,24,16
0959-3535,2023,17,14
0959-3543,2020,18,14
0959-3543,2021,16,10
0959-3543,2022,18,16
0959-3543,2023,17,12
0959-3683,2021,7,4
0959-3683,2022,8,7
0959-3683,2023,7,5
0959-3780,2019,1,0
0959-3780,2020,23,15
0959-3780,2021,41,30
0959-3780,2022,52,47
0959-3780,2023,57,53
0959-3845,2020,1,0
0959-3845,2021,5,0
0959-3845,2022,15,0
0959-3845,2023,6,0
0959-3969,2019,12,11
0959-3969,2020,3,3
0959-3969,2021,5,3
0959-3969,2022,17,13
0959-3969,2023,16,14
0959-3985,2019,9,9
0959-3985,2020,17,13
0959-3985,2021,44,29
0959-3985,2022,44,31
0959-3985,2023,46,38
0959-3993,2019,6,4
0959-3993,2020,11,6
0959-3993,2021,14,9
0959-3993,2022,17,15
0959-3993,2023,24,21
0959-437X,2019,1,0
0959-437X,2020,5,3
0959-437X,2021,16,7
0959-437X,2022,22,11
0959-437X,2023,24,20
0959-4388,2019,1,0
0959-4388,2020,11,4
0959-4388,2021,30,16
0959-4388,2022,21,12
0959-4388,2023,37,28
0959-440X,2019,2,1
0959-440X,2020,12,7
0959-440X,2021,21,14
0959-440X,2022,48,30
0959-440X,2023,72,48
0959-4493,2019,3,1
0959-4493,2020,10,1
0959-4493,2021,19,9
0959-4493,2022,19,9
0959-4493,2023,19,11
0959-4752,2020,3,2
0959-4752,2021,15,9
0959-4752,2022,25,20
0959-4752,2023,34,24
0959-4965,2023,1,1
0959-4973,2021,8,1
0959-4973,2022,5,2
0959-4973,2023,4,1
0959-5236,2019,2,0
0959-5236,2020,34,21
0959-5236,2021,34,24
0959-5236,2022,105,78
0959-5236,2023,156,140
0959-6119,2020,3,0
0959-6119,2021,6,0
0959-6119,2022,11,0
0959-6119,2023,2,0
0959-6410,2019,1,1
0959-6410,2021,7,0
0959-6410,2022,7,2
0959-6410,2023,11,4
0959-6518,2020,6,3
0959-6518,2021,5,2
0959-6518,2022,1,1
0959-6518,2023,3,3
0959-6526,2019,39,0
0959-6526,2020,210,84
0959-6526,2021,558,304
0959-6526,2022,541,398
0959-6526,2023,711,493
0959-6658,2019,2,1
0959-6658,2020,7,6
0959-6658,2021,16,14
0959-6658,2022,11,5
0959-6658,2023,18,15
0959-6801,2020,6,3
0959-6801,2021,4,4
0959-6801,2022,15,13
0959-6801,2023,9,7
0959-6836,2019,1,0
0959-6836,2020,19,5
0959-6836,2021,26,17
0959-6836,2022,25,15
0959-6836,2023,39,30
0959-7743,2019,4,1
0959-7743,2020,2,1
0959-7743,2021,13,10
0959-7743,2022,17,15
0959-7743,2023,18,17
0959-8049,2019,1,0
0959-8049,2020,49,30
0959-8049,2021,92,52
0959-8049,2022,121,81
0959-8049,2023,147,87
0959-8103,2019,5,1
0959-8103,2020,16,9
0959-8103,2021,14,13
0959-8103,2022,22,18
0959-8103,2023,11,7
0959-8278,2021,1,0
0959-8278,2022,1,1
0959-8278,2023,3,1
0959-9673,2020,3,2
0959-9673,2021,3,2
0959-9673,2022,2,2
0959-9673,2023,5,5
0959-9851,2019,5,3
0959-9851,2020,16,6
0959-9851,2021,17,8
0959-9851,2022,15,9
0959-9851,2023,21,15
0959-9916,2020,1,1
0959-9916,2021,5,3
0959-9916,2022,6,6
0959-9916,2023,3,2
0960-0035,2020,1,0
0960-0035,2021,18,0
0960-0035,2022,5,0
0960-0035,2023,13,0
0960-0760,2019,9,3
0960-0760,2020,14,3
0960-0760,2021,21,9
0960-0760,2022,11,6
0960-0760,2023,28,21
0960-0779,2020,4,0
0960-0779,2021,36,7
0960-0779,2022,68,37
0960-0779,2023,123,65
0960-0833,2019,1,0
0960-0833,2020,10,3
0960-0833,2021,11,4
0960-0833,2022,13,5
0960-0833,2023,5,4
0960-085X,2019,1,0
0960-085X,2020,14,7
0960-085X,2021,11,8
0960-085X,2022,11,10
0960-085X,2023,11,4
0960-1163,2022,2,0
0960-1163,2023,1,0
0960-1295,2019,1,1
0960-1295,2020,5,3
0960-1295,2021,22,17
0960-1295,2022,16,11
0960-1295,2023,17,12
0960-1317,2019,4,1
0960-1317,2020,5,5
0960-1317,2021,16,14
0960-1317,2022,18,16
0960-1317,2023,17,17
0960-1481,2019,18,0
0960-1481,2020,113,39
0960-1481,2021,184,74
0960-1481,2022,235,149
0960-1481,2023,281,199
0960-1627,2019,4,2
0960-1627,2020,13,6
0960-1627,2021,18,10
0960-1627,2022,9,9
0960-1627,2023,31,28
0960-1643,2021,48,15
0960-1643,2022,69,39
0960-1643,2023,93,29
0960-2011,2020,2,0
0960-2011,2021,25,15
0960-2011,2022,24,18
0960-2011,2023,25,20
0960-2585,2020,3,0
0960-2585,2021,3,2
0960-2585,2022,7,7
0960-2585,2023,4,2
0960-3085,2020,5,1
0960-3085,2021,21,12
0960-3085,2022,36,20
0960-3085,2023,42,31
0960-3115,2019,27,25
0960-3115,2020,37,25
0960-3115,2021,61,52
0960-3115,2022,63,53
0960-3115,2023,109,95
0960-3123,2019,1,1
0960-3123,2021,5,4
0960-3123,2022,8,8
0960-3123,2023,8,6
0960-3166,2019,2,2
0960-3166,2020,4,3
0960-3166,2021,10,8
0960-3166,2022,23,15
0960-3166,2023,34,27
0960-3174,2019,22,20
0960-3174,2020,21,11
0960-3174,2021,47,42
0960-3174,2022,57,49
0960-3174,2023,65,60
0960-3182,2019,4,2
0960-3182,2020,10,6
0960-3182,2021,10,7
0960-3182,2022,17,10
0960-3182,2023,27,20
0960-3271,2020,3,0
0960-3271,2022,1,1
0960-3271,2023,2,2
0960-3360,2019,8,0
0960-3360,2020,4,0
0960-3360,2021,7,3
0960-3360,2022,6,2
0960-3360,2023,5,0
0960-3409,2019,1,1
0960-3409,2020,1,1
0960-3409,2021,6,3
0960-3409,2022,13,8
0960-3409,2023,16,12
0960-6491,2019,1,1
0960-6491,2020,4,1
0960-6491,2021,11,7
0960-6491,2022,11,5
0960-6491,2023,18,11
0960-7404,2019,2,0
0960-7404,2020,10,4
0960-7404,2021,19,4
0960-7404,2022,30,19
0960-7404,2023,18,8
0960-7412,2019,39,26
0960-7412,2020,60,49
0960-7412,2021,82,73
0960-7412,2022,102,84
0960-7412,2023,172,150
0960-7439,2019,1,1
0960-7439,2020,8,3
0960-7439,2021,10,6
0960-7439,2022,15,11
0960-7439,2023,28,21
0960-7692,2019,16,2
0960-7692,2020,99,18
0960-7692,2021,106,35
0960-7692,2022,137,43
0960-7692,2023,157,76
0960-7773,2019,2,1
0960-7773,2020,7,5
0960-7773,2021,28,17
0960-7773,2022,54,41
0960-7773,2023,35,29
0960-8524,2019,10,0
0960-8524,2020,45,20
0960-8524,2021,111,61
0960-8524,2022,144,93
0960-8524,2023,126,84
0960-8788,2020,1,0
0960-8788,2021,24,9
0960-8788,2022,38,21
0960-8788,2023,36,20
0960-8923,2019,48,27
0960-8923,2020,109,60
0960-8923,2021,102,55
0960-8923,2022,115,68
0960-8923,2023,118,71
0960-8931,2021,3,0
0960-8931,2022,2,1
0960-8931,2023,6,5
0960-894X,2019,9,0
0960-894X,2020,11,3
0960-894X,2021,24,12
0960-894X,2022,21,15
0960-894X,2023,27,17
0960-8966,2020,23,8
0960-8966,2021,30,12
0960-8966,2022,33,24
0960-8966,2023,53,24
0960-9822,2019,1,0
0960-9822,2020,1,0
0960-9822,2021,49,15
0960-9822,2022,191,84
0960-9822,2023,219,107
0961-0006,2020,8,5
0961-0006,2021,14,9
0961-0006,2022,21,20
0961-0006,2023,18,14
0961-1371,2021,1,0
0961-1371,2022,1,0
0961-2025,2019,3,2
0961-2025,2020,1,1
0961-2025,2021,31,14
0961-2025,2022,45,24
0961-2025,2023,47,24
0961-2033,2020,13,10
0961-2033,2021,24,17
0961-2033,2022,11,9
0961-2033,2023,16,7
0961-205X,2019,5,1
0961-205X,2020,10,8
0961-205X,2021,14,12
0961-205X,2022,21,17
0961-205X,2023,35,26
0961-3218,2019,1,1
0961-3218,2021,11,9
0961-3218,2022,10,8
0961-3218,2023,28,25
0961-4524,2021,3,2
0961-4524,2022,1,0
0961-4524,2023,11,6
0961-463X,2020,11,4
0961-463X,2021,10,9
0961-463X,2022,13,7
0961-463X,2023,17,14
0961-5423,2019,16,6
0961-5423,2020,39,15
0961-5423,2021,60,46
0961-5423,2022,102,82
0961-5423,2023,28,28
0961-5539,2022,3,0
0961-5768,2021,3,2
0961-5768,2022,3,3
0961-5768,2023,3,2
0961-7353,2020,1,1
0961-7353,2021,2,0
0961-7353,2022,4,3
0961-7353,2023,2,2
0961-7671,2021,21,11
0961-7671,2022,44,23
0961-7671,2023,46,36
0961-8368,2019,9,6
0961-8368,2020,22,20
0961-8368,2021,34,23
0961-8368,2022,93,79
0961-8368,2023,111,98
0961-9534,2019,15,1
0961-9534,2020,24,14
0961-9534,2021,36,24
0961-9534,2022,39,30
0961-9534,2023,47,38
0962-0214,2020,8,5
0962-0214,2021,10,8
0962-0214,2022,15,9
0962-0214,2023,8,7
0962-1067,2019,26,6
0962-1067,2020,108,55
0962-1067,2021,126,76
0962-1067,2022,167,125
0962-1067,2023,187,149
0962-1075,2019,1,1
0962-1075,2020,1,1
0962-1075,2021,3,3
0962-1075,2022,12,9
0962-1075,2023,14,13
0962-1083,2019,28,9
0962-1083,2020,84,67
0962-1083,2021,160,147
0962-1083,2022,220,172
0962-1083,2023,250,209
0962-1105,2019,11,4
0962-1105,2020,51,28
0962-1105,2021,92,68
0962-1105,2022,137,96
0962-1105,2023,196,159
0962-144X,2022,1,0
0962-2802,2019,2,1
0962-2802,2020,30,22
0962-2802,2021,36,28
0962-2802,2022,43,37
0962-2802,2023,32,27
0962-4929,2019,2,1
0962-4929,2020,1,0
0962-4929,2021,5,3
0962-4929,2022,3,2
0962-4929,2023,4,4
0962-6298,2020,14,2
0962-6298,2021,25,17
0962-6298,2022,106,66
0962-6298,2023,76,59
0962-7480,2019,3,1
0962-7480,2021,35,9
0962-7480,2022,36,10
0962-7480,2023,36,22
0962-8436,2021,46,1
0962-8436,2022,55,0
0962-8436,2023,142,19
0962-8452,2021,112,6
0962-8452,2022,116,0
0962-8452,2023,172,31
0962-8770,2020,2,1
0962-8819,2019,1,1
0962-8819,2021,8,6
0962-8819,2022,5,5
0962-8819,2023,7,6
0962-8827,2021,1,0
0962-8924,2021,1,1
0962-8924,2022,11,2
0962-8924,2023,15,11
0962-9343,2019,57,52
0962-9343,2020,76,61
0962-9343,2021,97,88
0962-9343,2022,100,84
0962-9343,2023,109,95
0963-0252,2019,22,12
0963-0252,2020,33,23
0963-0252,2021,37,34
0963-0252,2022,47,45
0963-0252,2023,78,73
0963-0643,2021,7,4
0963-0643,2022,6,1
0963-0643,2023,5,3
0963-1690,2019,4,1
0963-1690,2020,20,10
0963-1690,2021,23,18
0963-1690,2022,24,21
0963-1690,2023,26,22
0963-1798,2019,4,1
0963-1798,2020,5,4
0963-1798,2021,18,12
0963-1798,2022,15,14
0963-1798,2023,36,31
0963-1801,2020,1,0
0963-1801,2021,13,3
0963-1801,2022,40,29
0963-1801,2023,31,25
0963-2719,2022,1,0
0963-2719,2023,14,0
0963-5483,2019,2,0
0963-5483,2020,10,5
0963-5483,2021,18,9
0963-5483,2022,24,16
0963-5483,2023,19,13
0963-6412,2021,1,1
0963-6412,2023,2,2
0963-6625,2019,1,0
0963-6625,2020,15,10
0963-6625,2021,23,15
0963-6625,2022,30,15
0963-6625,2023,29,22
0963-7214,2020,21,18
0963-7214,2021,16,8
0963-7214,2022,25,19
0963-7214,2023,21,14
0963-7486,2020,1,1
0963-7486,2021,8,6
0963-7486,2022,5,5
0963-7486,2023,9,7
0963-7494,2019,3,0
0963-7494,2020,2,1
0963-7494,2021,20,8
0963-7494,2022,23,9
0963-7494,2023,17,4
0963-8008,2020,2,2
0963-8008,2021,1,1
0963-8008,2022,4,3
0963-8008,2023,4,4
0963-8016,2020,8,5
0963-8016,2021,10,5
0963-8016,2022,5,4
0963-8016,2023,15,15
0963-8024,2021,7,4
0963-8024,2022,4,3
0963-8024,2023,6,3
0963-8180,2019,1,0
0963-8180,2020,2,1
0963-8180,2021,14,11
0963-8180,2022,12,9
0963-8180,2023,21,18
0963-8199,2020,1,1
0963-8199,2021,2,1
0963-8199,2022,2,0
0963-8199,2023,2,0
0963-8237,2020,1,1
0963-8237,2021,40,19
0963-8237,2022,41,28
0963-8237,2023,30,18
0963-8288,2019,31,23
0963-8288,2020,19,19
0963-8288,2021,109,92
0963-8288,2022,108,97
0963-8288,2023,174,132
0963-8687,2020,1,0
0963-8687,2021,1,0
0963-8687,2022,6,5
0963-8687,2023,12,7
0963-8695,2020,3,2
0963-8695,2021,2,1
0963-8695,2022,17,11
0963-8695,2023,31,21
0963-9268,2019,4,4
0963-9268,2020,5,2
0963-9268,2021,48,17
0963-9268,2022,48,19
0963-9268,2023,36,19
0963-9284,2020,1,1
0963-9284,2021,5,5
0963-9284,2022,7,3
0963-9284,2023,12,7
0963-9292,2019,4,2
0963-9292,2020,9,7
0963-9292,2021,11,10
0963-9292,2022,11,10
0963-9292,2023,16,13
0963-9314,2019,10,4
0963-9314,2020,17,6
0963-9314,2021,13,10
0963-9314,2022,7,4
0963-9314,2023,15,10
0963-9462,2019,8,0
0963-9462,2020,33,9
0963-9462,2021,35,11
0963-9462,2022,44,7
0963-9462,2023,69,16
0963-9470,2020,22,4
0963-9470,2021,14,5
0963-9470,2022,19,11
0963-9470,2023,12,9
0963-9489,2021,45,9
0963-9489,2022,48,15
0963-9489,2023,34,16
0963-9969,2019,5,0
0963-9969,2020,27,17
0963-9969,2021,84,40
0963-9969,2022,104,73
0963-9969,2023,237,160
0964-0568,2019,6,5
0964-0568,2020,10,7
0964-0568,2021,24,19
0964-0568,2022,25,21
0964-0568,2023,36,33
0964-1726,2019,7,3
0964-1726,2020,24,16
0964-1726,2021,22,20
0964-1726,2022,26,25
0964-1726,2023,52,47
0964-1998,2019,5,2
0964-1998,2020,29,15
0964-1998,2021,53,31
0964-1998,2022,66,41
0964-1998,2023,65,40
0964-2633,2019,1,1
0964-2633,2020,14,6
0964-2633,2021,32,25
0964-2633,2022,32,27
0964-2633,2023,56,48
0964-3397,2019,1,0
0964-3397,2020,13,4
0964-3397,2021,19,10
0964-3397,2022,36,18
0964-3397,2023,67,32
0964-4008,2021,1,0
0964-4008,2023,4,3
0964-4016,2019,4,2
0964-4016,2020,8,6
0964-4016,2021,29,18
0964-4016,2022,26,12
0964-4016,2023,40,22
0964-4563,2019,1,0
0964-4563,2020,1,1
0964-4563,2021,23,11
0964-4563,2022,27,13
0964-4563,2023,17,14
0964-4733,2019,11,5
0964-4733,2020,79,29
0964-4733,2021,97,65
0964-4733,2022,195,153
0964-4733,2023,164,132
0964-5284,2019,1,0
0964-5284,2020,7,1
0964-5284,2021,4,1
0964-5284,2022,2,2
0964-5284,2023,2,0
0964-5292,2020,3,2
0964-5292,2021,10,7
0964-5292,2022,11,9
0964-5292,2023,9,6
0964-5691,2019,5,0
0964-5691,2020,7,3
0964-5691,2021,38,26
0964-5691,2022,52,35
0964-5691,2023,75,54
0964-6639,2020,34,17
0964-6639,2021,30,22
0964-6639,2022,34,29
0964-6639,2023,49,32
0964-6906,2019,4,3
0964-6906,2020,5,2
0964-6906,2021,56,48
0964-6906,2022,48,43
0964-6906,2023,44,40
0964-704X,2019,1,0
0964-704X,2020,2,1
0964-704X,2021,5,4
0964-704X,2022,6,3
0964-704X,2023,11,4
0964-7775,2019,1,1
0964-7775,2021,7,6
0964-7775,2022,8,6
0964-7775,2023,12,8
0964-8305,2019,2,0
0964-8305,2020,6,2
0964-8305,2021,19,8
0964-8305,2022,9,8
0964-8305,2023,11,7
0964-8410,2019,1,0
0964-8410,2020,9,5
0964-8410,2021,15,7
0964-8410,2022,17,8
0964-8410,2023,17,15
0964-9069,2019,1,1
0964-9069,2021,31,18
0964-9069,2022,34,19
0964-9069,2023,29,22
0965-0393,2019,7,2
0965-0393,2020,6,6
0965-0393,2021,16,14
0965-0393,2022,25,23
0965-0393,2023,14,12
0965-075X,2019,4,0
0965-075X,2020,7,5
0965-075X,2021,12,10
0965-075X,2022,16,15
0965-075X,2023,22,19
0965-0792,2019,3,3
0965-0792,2020,8,6
0965-0792,2021,26,17
0965-0792,2022,17,12
0965-0792,2023,18,11
0965-0911,2020,2,0
0965-0911,2021,10,0
0965-0911,2023,3,0
0965-092X,2022,1,0
0965-092X,2023,1,0
0965-1721,2019,2,0
0965-1721,2020,4,3
0965-1721,2021,15,10
0965-1721,2022,13,10
0965-1748,2020,5,1
0965-1748,2021,8,4
0965-1748,2022,12,7
0965-1748,2023,18,16
0965-206X,2020,6,1
0965-206X,2021,18,4
0965-206X,2022,25,12
0965-206X,2023,36,24
0965-2140,2019,8,3
0965-2140,2020,102,64
0965-2140,2021,125,96
0965-2140,2022,153,105
0965-2140,2023,160,124
0965-254X,2019,1,1
0965-254X,2020,3,2
0965-254X,2021,5,3
0965-254X,2022,5,2
0965-254X,2023,20,16
0965-3562,2021,1,0
0965-3562,2022,3,0
0965-3562,2023,3,0
0965-4283,2021,3,0
0965-4283,2022,1,0
0965-4283,2023,1,0
0965-4313,2019,10,10
0965-4313,2020,8,6
0965-4313,2021,39,28
0965-4313,2022,35,28
0965-4313,2023,41,31
0965-5425,2019,1,0
0965-5425,2020,2,0
0965-5425,2021,1,0
0965-5425,2022,1,0
0965-7576,2019,7,5
0965-7576,2020,6,3
0965-7576,2021,19,14
0965-7576,2022,15,9
0965-7576,2023,22,16
0965-8211,2021,20,15
0965-8211,2022,20,14
0965-8211,2023,23,20
0965-8416,2021,8,7
0965-8416,2022,2,2
0965-8416,2023,4,3
0965-8564,2020,51,20
0965-8564,2021,34,16
0965-8564,2022,62,47
0965-8564,2023,87,66
0965-9978,2019,3,0
0965-9978,2020,10,5
0965-9978,2021,9,6
0965-9978,2022,10,4
0965-9978,2023,20,14
0966-0410,2019,7,2
0966-0410,2020,84,49
0966-0410,2021,117,77
0966-0410,2022,230,188
0966-0410,2023,90,90
0966-0429,2019,6,4
0966-0429,2020,32,11
0966-0429,2021,46,32
0966-0429,2022,91,67
0966-0429,2023,31,31
0966-0844,2019,6,6
0966-0844,2020,8,5
0966-0844,2021,6,4
0966-0844,2022,18,11
0966-0844,2023,9,8
0966-0879,2019,1,1
0966-0879,2020,9,5
0966-0879,2021,12,11
0966-0879,2022,20,14
0966-0879,2023,28,23
0966-2839,2019,1,1
0966-2839,2020,5,4
0966-2839,2021,19,16
0966-2839,2022,23,21
0966-2839,2023,19,17
0966-3274,2019,2,0
0966-3274,2020,2,0
0966-3274,2021,9,2
0966-3274,2022,11,5
0966-3274,2023,8,3
0966-3622,2019,13,3
0966-3622,2020,15,7
0966-3622,2021,18,11
0966-3622,2022,10,6
0966-3622,2023,20,16
0966-369X,2019,5,4
0966-369X,2020,6,6
0966-369X,2021,31,16
0966-369X,2022,31,23
0966-369X,2023,29,22
0966-6362,2019,6,0
0966-6362,2020,55,3
0966-6362,2021,98,33
0966-6362,2022,70,49
0966-6362,2023,69,42
0966-6923,2020,32,17
0966-6923,2021,45,21
0966-6923,2022,40,29
0966-6923,2023,60,48
0966-7350,2020,6,1
0966-7350,2021,6,3
0966-7350,2022,4,0
0966-7350,2023,1,0
0966-7369,2023,3,2
0966-8136,2021,1,0
0966-8136,2022,1,1
0966-8373,2019,8,1
0966-8373,2020,36,19
0966-8373,2021,54,35
0966-8373,2022,37,26
0966-8373,2023,46,31
0966-842X,2021,3,1
0966-842X,2022,18,4
0966-842X,2023,19,12
0966-9582,2019,3,2
0966-9582,2020,12,9
0966-9582,2021,32,20
0966-9582,2022,24,17
0966-9582,2023,38,29
0966-9760,2019,1,1
0966-9760,2020,11,9
0966-9760,2021,22,14
0966-9760,2022,15,10
0966-9760,2023,16,11
0966-9795,2019,6,1
0966-9795,2020,6,1
0966-9795,2021,15,4
0966-9795,2022,9,5
0966-9795,2023,16,10
0967-0106,2020,17,13
0967-0106,2021,24,20
0967-0106,2022,15,13
0967-0106,2023,18,18
0967-0262,2020,1,0
0967-0262,2021,2,1
0967-0262,2022,2,2
0967-0262,2023,2,2
0967-0335,2020,4,2
0967-0335,2022,2,0
0967-0335,2023,7,6
0967-0637,2020,4,1
0967-0637,2021,14,5
0967-0637,2022,17,12
0967-0637,2023,26,18
0967-0645,2019,1,0
0967-0645,2020,2,1
0967-0645,2022,16,11
0967-0645,2023,12,8
0967-0661,2020,11,2
0967-0661,2021,24,10
0967-0661,2022,29,19
0967-0661,2023,63,38
0967-070X,2020,12,2
0967-070X,2021,39,25
0967-070X,2022,53,43
0967-070X,2023,68,46
0967-0742,2021,38,10
0967-0742,2022,44,22
0967-0742,2023,31,14
0967-0769,2021,1,1
0967-0769,2022,11,7
0967-0769,2023,5,3
0967-0874,2021,1,1
0967-0874,2022,1,1
0967-0874,2023,2,2
0967-0882,2021,34,9
0967-0882,2022,29,8
0967-0882,2023,36,11
0967-1994,2020,3,1
0967-1994,2021,6,1
0967-1994,2022,7,3
0967-1994,2023,5,2
0967-2559,2020,1,0
0967-2559,2021,17,10
0967-2559,2022,9,6
0967-2559,2023,29,17
0967-2567,2020,2,0
0967-2567,2021,13,2
0967-2567,2022,12,4
0967-2567,2023,8,4
0967-3334,2019,7,4
0967-3334,2020,18,17
0967-3334,2021,24,20
0967-3334,2022,15,14
0967-3334,2023,38,34
0967-3849,2019,1,1
0967-3849,2020,2,2
0967-3849,2021,5,4
0967-3849,2022,5,4
0967-3849,2023,11,10
0967-3911,2019,1,0
0967-3911,2020,2,0
0967-3911,2021,1,0
0967-3911,2022,5,4
0967-3911,2023,3,3
0967-5426,2021,7,0
0967-5426,2022,3,0
0967-5426,2023,11,0
0967-5868,2019,3,0
0967-5868,2020,20,2
0967-5868,2021,28,8
0967-5868,2022,23,6
0967-5868,2023,35,13
0967-6120,2019,10,9
0967-6120,2020,1,1
0967-6120,2021,9,8
0967-6120,2022,11,10
0967-6120,2023,17,15
0967-7720,2020,6,1
0967-7720,2021,20,10
0967-7720,2022,15,10
0967-7720,2023,20,13
0967-828X,2019,1,0
0967-828X,2021,10,4
0967-828X,2022,9,0
0967-828X,2023,13,1
0968-0004,2021,7,0
0968-0004,2022,12,3
0968-0004,2023,13,6
0968-0160,2020,13,1
0968-0160,2021,21,6
0968-0160,2022,25,14
0968-0160,2023,41,24
0968-0802,2019,5,2
0968-0802,2020,14,8
0968-0802,2021,33,24
0968-0802,2022,68,56
0968-0802,2023,130,98
0968-0896,2019,10,2
0968-0896,2020,12,5
0968-0896,2021,23,10
0968-0896,2022,30,21
0968-0896,2023,29,24
0968-090X,2019,1,0
0968-090X,2020,37,20
0968-090X,2021,66,46
0968-090X,2022,52,41
0968-090X,2023,80,60
0968-3445,2020,23,6
0968-3445,2021,27,6
0968-3445,2022,27,6
0968-3445,2023,24,6
0968-4328,2019,7,0
0968-4328,2020,18,4
0968-4328,2021,15,5
0968-4328,2022,20,10
0968-4328,2023,22,11
0968-4883,2022,1,0
0968-4883,2023,1,0
0968-5243,2019,14,13
0968-5243,2020,32,25
0968-5243,2021,42,30
0968-5243,2022,24,23
0968-5243,2023,36,30
0968-5332,2020,10,8
0968-5332,2021,13,11
0968-5332,2022,11,10
0968-5332,2023,22,16
0968-5650,2019,2,1
0968-5650,2020,6,5
0968-5650,2021,6,3
0968-5650,2022,9,9
0968-5650,2023,5,5
0968-6673,2019,1,0
0968-6673,2020,60,34
0968-6673,2021,73,41
0968-6673,2022,96,70
0968-6673,2023,99,86
0968-7599,2019,7,4
0968-7599,2020,3,1
0968-7599,2021,38,28
0968-7599,2022,22,18
0968-7599,2023,54,46
0968-7637,2019,4,4
0968-7637,2020,4,4
0968-7637,2021,31,24
0968-7637,2022,27,23
0968-7637,2023,32,27
0969-0239,2019,29,25
0969-0239,2020,58,46
0969-0239,2021,77,71
0969-0239,2022,70,64
