issn_l,earliest_year,pubtype,ta_articles,ta_oa_articles,ta_first_author_articles,ta_oa_first_author_articles,ta_corresponding_author_articles,ta_oa_corresponding_author_articles,ta_first_corresponding_author_articles,ta_oa_first_corresponding_author_articles
0003-1224,2023,all,13,11,13,9,13,9,11,7
0003-1224,2023,core,13,11,13,9,13,9,11,7
0003-1305,2023,all,14,10,14,9,13,9,10,8
0003-1305,2023,core,14,10,14,9,13,9,10,8
0003-1348,2023,all,62,18,62,13,59,13,30,8
0003-1348,2023,core,59,18,59,13,56,13,28,8
0003-150X,2023,all,2,0,2,0,2,0,1,0
0003-150X,2023,core,1,0,1,0,1,0,0,0
0003-1615,2023,all,22,5,22,5,22,5,22,5
0003-1615,2023,core,9,5,9,5,9,5,9,5
0003-2409,2023,all,280,73,274,52,142,54,104,33
0003-2409,2023,core,76,72,73,52,73,53,46,33
0003-2638,2023,all,36,17,36,17,36,17,36,17
0003-2638,2023,core,29,17,29,17,29,17,29,17
0003-2654,2023,all,73,105,62,54,72,61,10,10
0003-2654,2023,core,73,105,62,54,72,61,10,10
0003-2670,2023,all,134,157,128,88,147,100,42,31
0003-2670,2023,core,130,155,124,87,142,99,40,31
0003-2697,2023,all,24,19,23,12,24,13,11,6
0003-2697,2023,core,23,19,22,12,23,13,10,6
0003-2700,2023,all,262,326,239,173,270,192,48,39
0003-2700,2023,core,261,324,238,172,269,191,48,39
0003-2719,2023,all,3,5,3,3,3,3,1,1
0003-2719,2023,core,3,5,3,3,3,3,1,1
0003-2999,2023,all,19,5,19,3,12,3,8,1
0003-2999,2023,core,7,5,7,3,6,3,3,1
0003-3022,2023,all,13,1,10,1,13,1,7,1
0003-3022,2023,core,8,1,6,1,8,1,4,1
0003-3197,2023,all,9,3,8,2,9,2,3,1
0003-3197,2023,core,6,3,6,2,6,2,2,1
0003-3472,2023,all,109,104,108,78,115,85,81,59
0003-3472,2023,core,107,104,106,78,113,85,79,59
0003-3790,2023,all,22,11,22,11,22,11,22,11
0003-3790,2023,core,16,11,16,11,16,11,16,11
0003-3804,2023,all,73,73,73,55,78,62,58,44
0003-3804,2023,core,70,72,70,54,75,61,55,43
0003-4266,2023,all,13,4,12,3,13,3,7,2
0003-4266,2023,core,8,4,8,3,8,3,6,2
0003-4347,2023,all,7,8,7,7,7,7,6,6
0003-4347,2023,core,7,8,7,7,7,7,6,6
0003-4487,2023,all,20,5,14,4,20,4,8,3
0003-4487,2023,core,18,5,12,4,18,4,8,3
0003-4746,2023,all,22,21,22,15,23,15,13,9
0003-4746,2023,core,22,21,22,15,23,15,13,9
0003-4800,2023,all,15,16,15,9,15,9,4,2
0003-4800,2023,core,14,16,14,9,14,9,4,2
0003-4894,2023,all,18,8,17,6,17,5,8,3
0003-4894,2023,core,14,7,13,5,13,4,5,2
0003-4916,2023,all,58,37,57,25,58,26,33,14
0003-4916,2023,core,57,37,56,25,57,26,32,14
0003-4932,2023,all,77,47,74,32,79,34,37,19
0003-4932,2023,core,75,47,72,32,77,34,35,19
0003-4967,2023,all,334,25,331,17,37,17,17,9
0003-4967,2023,core,29,22,26,15,29,15,13,8
0003-4975,2023,all,72,0,68,0,70,0,32,0
0003-4975,2023,core,27,0,25,0,25,0,8,0
0003-5696,2023,all,1,0,1,0,0,0,0,0
0003-5696,2023,core,1,0,1,0,0,0,0,0
0003-5815,2023,all,8,4,8,4,8,4,8,4
0003-5815,2023,core,8,4,8,4,8,4,8,4
0003-598X,2023,all,109,81,106,66,111,71,96,56
0003-598X,2023,core,66,70,63,55,68,60,53,45
0003-6072,2023,all,11,15,11,10,10,9,4,4
0003-6072,2023,core,11,15,11,10,10,9,4,4
0003-6811,2023,all,10,8,10,5,9,5,4,2
0003-6811,2023,core,10,8,10,5,9,5,4,2
0003-682X,2023,all,96,70,91,52,98,57,62,39
0003-682X,2023,core,96,70,91,52,98,57,62,39
0003-6846,2023,all,66,51,60,34,62,36,32,19
0003-6846,2023,core,66,51,60,34,62,36,32,19
0003-6862,2023,all,5,4,5,2,6,2,2,0
0003-6862,2023,core,5,4,5,2,6,2,2,0
0003-6870,2023,all,78,72,77,54,78,54,53,36
0003-6870,2023,core,73,72,72,54,73,54,49,36
0003-6951,2023,all,278,245,253,147,305,172,133,74
0003-6951,2023,core,269,245,245,147,296,172,128,74
0003-7028,2023,all,29,17,28,10,28,10,11,3
0003-7028,2023,core,29,17,28,10,28,10,11,3
0003-7982,2023,all,5,1,5,1,5,1,5,1
0003-7982,2023,core,1,0,1,0,1,0,1,0
0003-813X,2023,all,28,30,26,23,31,28,24,21
0003-813X,2023,core,28,30,26,23,31,28,24,21
0003-8628,2023,all,12,9,12,6,12,6,9,3
0003-8628,2023,core,12,9,12,6,12,6,9,3
0003-889X,2023,all,41,31,41,29,39,29,37,27
0003-889X,2023,core,38,29,38,27,36,27,34,25
0003-9101,2023,all,10,5,10,5,10,5,10,5
0003-9101,2023,core,4,3,4,3,4,3,4,3
0003-9519,2023,all,15,11,15,9,15,10,11,8
0003-9519,2023,core,14,11,14,9,14,10,10,8
0003-9527,2023,all,57,50,57,40,54,40,41,30
0003-9527,2023,core,55,46,55,38,52,38,41,30
0003-9756,2023,all,21,6,21,6,21,6,21,6
0003-9756,2023,core,14,5,14,5,14,5,14,5
